"Entry Id","Global issues: comparison across countries	","Environmental Data (e.g. pollution, fuel economy, CO2 emissions, ...)	","Climate/Environment/Weather	","Traveling (e.g. flight delays, tarmac waits, airport performance, ...)	","Movies (e.g. ratings, box office revenues, ...)	","Salaries - economics, financial data	","Health - diseases	","Health - fitness	","Crime Data (e.g. FBI Database)	","Sports (e.g. Baseball, Football, ...)	","Other topic(s)","Description","Date Created","Created By","Last Updated","Updated By"
"1","Favorite","Don't like it that much","Don't like it that much","Favorite","Don't like it that much","Don't like it that much","Favorite","Favorite","Favorite","Don't like it that much","","","2020-01-14 09:58:58","public","",""
"2","Favorite","Don't like it that much","Like it very much","Favorite","Don't like it that much","Favorite","Like it","Don't like it that much","Like it","Don't like it that much","","","2020-01-14 09:59:10","public","",""
"3","Like it very much","Like it very much","Favorite","Favorite","Don't like it that much","Like it","Like it very much","Favorite","Don't like it that much","Don't like it that much","","","2020-01-14 09:59:29","public","",""
"4","Like it very much","Like it","Like it very much","Like it very much","Don't like it that much","Like it","Don't like it that much","Don't like it that much","Don't like it that much","Favorite","","","2020-01-14 09:59:36","public","",""
"5","Like it","Don't like it that much","Don't like it that much","Don't like it that much","Like it","Favorite","Like it very much","Like it very much","Like it very much","Favorite","","","2020-01-14 09:59:40","public","",""
"6","Don't like it that much","Like it very much","Like it","Like it very much","Don't like it that much","Like it very much","Like it","Favorite","Favorite","Favorite","","","2020-01-14 09:59:45","public","",""
"7","Favorite","Favorite","Favorite","Favorite","Favorite","Favorite","Favorite","Favorite","Favorite","Favorite","","","2020-01-14 09:59:55","public","",""
"8","Favorite","Favorite","Favorite","Favorite","Favorite","Favorite","Favorite","Favorite","Favorite","Favorite","Psychology","","2020-01-14 09:59:55","public","",""
"9","Favorite","Like it very much","Favorite","Like it very much","Don't like it that much","Like it","Don't like it that much","Don't like it that much","Don't like it that much","Don't like it that much","population data","census/demographic information","2020-01-14 09:59:58","public","",""
"10","Like it","Don't like it that much","Like it","Like it","Like it","Like it very much","Like it very much","Favorite","Don't like it that much","Like it","","","2020-01-14 10:00:05","public","",""
"11","Like it","Like it very much","Favorite","Like it very much","Favorite","Like it very much","Like it","Like it very much","Like it","Don't like it that much","","","2020-01-14 10:00:05","public","",""
"12","Like it","Favorite","Favorite","Favorite","Like it","Favorite","Like it very much","Favorite","Like it","Like it very much","","","2020-01-14 10:00:06","public","",""
"13","Like it","Don't like it that much","Like it","Like it","Like it very much","Like it","Like it","Favorite","Like it very much","Like it","","","2020-01-14 10:00:06","public","",""
"14","Like it very much","Like it","Like it","Like it","Like it very much","Favorite","Like it","Don't like it that much","Favorite","Like it","","","2020-01-14 10:00:06","public","",""
"15","Don't like it that much","Like it very much","Like it very much","Don't like it that much","Like it","Like it","Like it","Like it very much","Favorite","Don't like it that much","","","2020-01-14 10:00:18","public","",""
"16","Like it very much","Favorite","Like it very much","Like it very much","Like it","Like it","Like it very much","Don't like it that much","Like it","Don't like it that much","","","2020-01-14 10:00:23","public","",""
"17","Don't like it that much","Don't like it that much","Don't like it that much","Favorite","Favorite","Favorite","Favorite","Favorite","Favorite","Don't like it that much","","","2020-01-14 10:00:24","public","",""
"18","Like it","Don't like it that much","Don't like it that much","Don't like it that much","Like it","Like it very much","Favorite","Favorite","Like it very much","Like it very much","","","2020-01-14 10:00:29","public","",""
"19","Favorite","Favorite","Favorite","Favorite","Like it","Favorite","Favorite","Favorite","Like it very much","Like it","","","2020-01-14 10:00:30","public","",""
"20","Like it very much","Like it","Like it","Don't like it that much","Don't like it that much","Like it very much","Like it","Don't like it that much","Like it","Favorite","","","2020-01-14 10:00:30","public","",""
"21","Like it","Like it","Like it","Like it","Like it","Like it very much","Like it","Like it","Like it","Favorite","","","2020-01-14 10:00:32","public","",""
"22","Like it","Favorite","Favorite","Like it","Like it","Don't like it that much","Like it","Like it","Like it","Like it","","","2020-01-14 10:00:32","public","",""
"23","Favorite","Like it very much","Don't like it that much","Don't like it that much","Don't like it that much","Don't like it that much","Like it very much","Don't like it that much","Like it very much","Don't like it that much","","","2020-01-14 10:00:36","public","",""
"24","Like it","Like it","Like it very much","Don't like it that much","Like it","Like it","Like it","Don't like it that much","Like it","Don't like it that much","","","2020-01-14 10:00:40","public","",""
"25","Like it very much","Like it","Like it","Don't like it that much","Don't like it that much","Favorite","Like it very much","Like it very much","Like it","Don't like it that much","","","2020-01-14 10:00:46","public","",""
"26","Favorite","Like it very much","Like it","Like it","Favorite","Like it very much","Like it very much","Like it very much","Favorite","Like it","FAA wildlife strike database","There's a report made for every time a bird hits a plain.","2020-01-14 10:00:47","public","",""
"27","Like it very much","Favorite","Like it very much","Like it","Don't like it that much","Favorite","Favorite","Favorite","Like it very much","Like it very much","","","2020-01-14 10:00:50","public","",""
