"State","Abb","Year","Population","Aggravated.assault","Burglary","Larceny.theft","Legacy.rape","Motor.vehicle.theft","Murder","Rape","Robbery"
"Alabama","AL",1961,3302000,4255,11205,18801,252,2535,427,NA,630
"Alabama","AL",1962,3358000,3995,11722,21306,218,2801,316,NA,754
"Alabama","AL",1963,3347000,4755,12614,22874,192,3033,340,NA,828
"Alabama","AL",1964,3407000,5555,15898,26713,397,3679,316,NA,992
"Alabama","AL",1965,3462000,5162,16398,28115,367,3702,395,NA,992
"Alabama","AL",1966,3517000,6249,18551,30583,341,4606,384,NA,1124
"Alabama","AL",1967,3540000,6495,20227,31682,371,5170,415,NA,1167
"Alabama","AL",1968,3566000,6009,22403,34508,396,6086,421,NA,1462
"Alabama","AL",1969,3531000,6415,23559,36644,494,6045,485,NA,1448
"Alabama","AL",1970,3444165,7413,26739,40779,637,7696,404,NA,1731
"Alabama","AL",1971,3479000,7645,27547,40841,661,7696,524,NA,2005
"Alabama","AL",1972,3510000,7431,27714,38493,660,6846,496,NA,2407
"Alabama","AL",1973,3539000,8362,31754,39206,751,8039,468,NA,2809
"Alabama","AL",1974,3577000,8429,37841,46813,811,9322,536,NA,3562
"Alabama","AL",1975,3614000,8440,42059,59470,738,9767,577,NA,4446
"Alabama","AL",1976,3665000,9381,42879,72832,794,9614,553,NA,3520
"Alabama","AL",1977,3690000,10268,41901,69442,929,10359,524,NA,3572
"Alabama","AL",1978,3742000,10521,46001,74387,954,11319,499,NA,3708
"Alabama","AL",1979,3769000,9918,48517,83791,1037,12064,496,NA,4127
"Alabama","AL",1980,3861466,10551,58952,102029,1158,12210,509,NA,5102
"Alabama","AL",1981,3916000,11985,56811,105471,1021,11129,465,NA,4952
"Alabama","AL",1982,3943000,11793,49531,104740,1026,10777,417,NA,4417
"Alabama","AL",1983,3959000,11281,42485,94279,931,9126,364,NA,3895
"Alabama","AL",1984,3990000,11995,39970,89198,1002,9319,374,NA,3833
"Alabama","AL",1985,4021000,12686,41612,88108,1079,10395,396,NA,4237
"Alabama","AL",1986,4053000,16534,46974,93396,1150,10821,409,NA,4523
"Alabama","AL",1987,4083000,16735,48927,99260,1137,10731,380,NA,4581
"Alabama","AL",1988,4127000,16556,50920,103282,1228,11007,408,NA,4860
"Alabama","AL",1989,4118000,17117,47224,106771,1276,12249,421,NA,5515
"Alabama","AL",1990,4040587,21039,44585,111336,1319,14053,467,NA,5805
"Alabama","AL",1991,4089000,26348,51873,118151,1455,14858,469,NA,6246
"Alabama","AL",1992,4136000,27074,49053,117801,1704,14983,455,NA,6819
"Alabama","AL",1993,4187000,24044,45578,111878,1471,14142,484,NA,6677
"Alabama","AL",1994,4219000,19633,44064,119951,1487,14000,501,NA,7223
"Alabama","AL",1995,4253000,17169,43586,120967,1350,14741,475,NA,7900
"Alabama","AL",1996,4273000,15194,42821,123350,1397,15632,444,NA,7124
"Alabama","AL",1997,4319000,15626,43786,127616,1396,15407,426,NA,6931
"Alabama","AL",1998,4352000,14791,41965,120943,1443,14871,354,NA,5698
"Alabama","AL",1999,4369862,14266,38648,119616,1513,13134,345,NA,5297
"Alabama","AL",2000,4447100,14107,40331,127399,1482,12809,329,NA,5702
"Alabama","AL",2001,4468912,12250,40642,119992,1369,12619,379,NA,5584
"Alabama","AL",2002,4478896,12002,42578,123932,1664,13890,303,NA,5962
"Alabama","AL",2003,4503726,11338,43245,124039,1656,14957,299,NA,6038
"Alabama","AL",2004,4525375,11286,44666,123650,1742,14024,254,NA,6042
"Alabama","AL",2005,4548327,11293,43473,120780,1564,13140,374,NA,6447
"Alabama","AL",2006,4599030,10463,44780,121451,1646,15018,382,NA,7062
"Alabama","AL",2007,4627851,11417,45379,124465,1548,14238,412,NA,7398
"Alabama","AL",2008,4661900,11795,50411,126539,1618,13466,351,NA,7346
"Alabama","AL",2009,4708708,13103,48844,118072,1504,11091,322,NA,6265
"Alabama","AL",2010,4785401,11869,42484,115564,1355,10780,275,NA,4864
"Alabama","AL",2011,4803689,13591,51119,111411,1370,10662,299,NA,4906
"Alabama","AL",2012,4817528,15035,47481,111523,1296,9874,342,NA,5020
"Alabama","AL",2013,4833722,13787,42429,108993,1428,10571,347,2044,4648
"Alabama","AL",2014,4849377,13745,39715,104238,1436,10141,276,2005,4701
"Alabama","AL",2015,4858979,15954,35255,99156,1456,10335,348,2039,4611
"Alabama","AL",2016,4863300,18877,34065,97574,1385,11723,407,1916,4686
"Alabama","AL",2017,4874747,18902,31477,99842,NA,12841,404,2028,4217
"Alaska","AK",1961,234000,121,891,2223,31,491,27,NA,29
"Alaska","AK",1962,246000,134,865,2424,46,560,11,NA,34
"Alaska","AK",1963,248000,164,946,3010,37,887,16,NA,55
"Alaska","AK",1964,250000,240,1109,3046,56,885,26,NA,53
"Alaska","AK",1965,253000,215,1403,3777,45,1030,16,NA,101
"Alaska","AK",1966,272000,223,1613,4354,53,1201,35,NA,98
"Alaska","AK",1967,272000,267,1873,4436,48,1100,26,NA,96
"Alaska","AK",1968,277000,251,2070,5307,60,1336,29,NA,146
"Alaska","AK",1969,282000,321,2455,6195,83,1668,30,NA,190
"Alaska","AK",1970,302173,507,2387,6595,79,1666,37,NA,217
"Alaska","AK",1971,313000,724,2656,7631,136,1636,42,NA,210
"Alaska","AK",1972,325000,821,3155,8577,136,1619,31,NA,216
"Alaska","AK",1973,330000,868,3852,9456,147,1736,33,NA,221
"Alaska","AK",1974,337000,1017,3932,10016,166,2183,46,NA,298
"Alaska","AK",1975,352000,1244,4275,12399,157,3238,43,NA,456
"Alaska","AK",1976,382000,1364,4653,13969,179,3078,43,NA,477
"Alaska","AK",1977,407000,1156,5420,13715,210,3066,44,NA,394
"Alaska","AK",1978,403000,1137,5397,14522,224,2666,52,NA,368
"Alaska","AK",1979,406000,1203,5616,15076,292,2501,54,NA,445
"Alaska","AK",1980,440142,1270,5545,14916,250,2469,39,NA,360
"Alaska","AK",1981,412000,1584,5479,16310,421,2845,60,NA,472
"Alaska","AK",1982,438000,1691,5204,16672,374,2603,81,NA,586
"Alaska","AK",1983,479000,1923,5720,17085,486,3084,66,NA,465
"Alaska","AK",1984,500000,2045,6184,18140,458,3144,58,NA,547
"Alaska","AK",1985,521000,2094,6209,18220,402,3159,51,NA,484
"Alaska","AK",1986,534000,2142,6204,20879,388,3224,46,NA,470
"Alaska","AK",1987,525000,1613,5093,18195,341,2553,53,NA,384
"Alaska","AK",1988,513000,1983,4321,15911,296,2334,29,NA,374
"Alaska","AK",1989,527000,1946,4358,15811,279,2398,42,NA,356
"Alaska","AK",1990,550043,2021,4919,17428,401,3110,41,NA,422
"Alaska","AK",1991,570000,2289,5582,20375,523,3043,42,NA,645
"Alaska","AK",1992,587000,2614,5170,20728,579,2918,44,NA,640
"Alaska","AK",1993,599000,3268,4893,21201,502,2701,54,NA,733
"Alaska","AK",1994,606000,3302,4848,21824,418,3275,38,NA,886
"Alaska","AK",1995,604000,3179,5055,21891,485,3151,55,NA,937
"Alaska","AK",1996,607000,3264,5118,20557,398,2992,45,NA,710
"Alaska","AK",1997,609000,3165,4276,20780,403,2784,54,NA,648
"Alaska","AK",1998,614000,3021,4098,18611,421,2607,41,NA,532
"Alaska","AK",1999,619500,2773,3787,16654,517,2658,52,NA,566
"Alaska","AK",2000,626932,2540,3899,16838,497,2350,27,NA,490
"Alaska","AK",2001,633630,2681,3847,16695,501,2618,39,NA,514
"Alaska","AK",2002,641482,2594,3908,17739,511,2471,33,NA,489
"Alaska","AK",2003,648280,2787,3874,18051,605,2461,39,NA,446
"Alaska","AK",2004,657755,3117,3773,16159,558,2240,37,NA,447
"Alaska","AK",2005,663253,3087,4131,17249,538,2595,32,NA,537
"Alaska","AK",2006,670053,3462,4155,17284,512,2536,36,NA,600
"Alaska","AK",2007,683478,3351,3734,16929,545,2433,43,NA,581
"Alaska","AK",2008,686293,3356,3237,15225,447,1628,27,NA,645
"Alaska","AK",2009,698473,3235,3600,15251,513,1687,22,NA,654
"Alaska","AK",2010,714146,3379,3105,15535,533,1619,31,NA,594
"Alaska","AK",2011,723860,3374,2852,14854,436,1388,30,NA,576
"Alaska","AK",2012,730307,3169,2950,15565,583,1522,30,NA,630
"Alaska","AK",2013,735132,3128,2916,16599,644,1695,34,922,624
"Alaska","AK",2014,736732,3243,3150,15445,555,1739,41,771,629
"Alaska","AK",2015,738432,3671,3511,15249,650,2046,59,901,761
"Alaska","AK",2016,741894,4011,4053,17766,757,3057,52,1053,850
"Alaska","AK",2017,739795,4257,4171,17775,NA,4258,62,863,951
"Arizona","AZ",1961,1391000,1218,10262,26099,200,4943,84,NA,786
"Arizona","AZ",1962,1509000,1475,11693,28605,198,5396,86,NA,851
"Arizona","AZ",1963,1559000,1815,12944,31213,222,5737,93,NA,897
"Arizona","AZ",1964,1581000,2059,13726,35190,259,5348,83,NA,967
"Arizona","AZ",1965,1608000,1831,13129,36208,286,4620,80,NA,895
"Arizona","AZ",1966,1618000,1980,15066,42555,296,6024,98,NA,898
"Arizona","AZ",1967,1634000,2304,18583,49923,273,6654,91,NA,1224
"Arizona","AZ",1968,1670000,2536,19496,50471,313,7034,105,NA,1448
"Arizona","AZ",1969,1693000,3558,22053,53231,390,7426,102,NA,1692
"Arizona","AZ",1970,1772482,3788,26464,62918,478,8883,168,NA,2130
"Arizona","AZ",1971,1849000,4635,26549,67566,553,8336,124,NA,2095
"Arizona","AZ",1972,1945000,5589,31429,66883,650,8359,142,NA,2350
"Arizona","AZ",1973,2058000,6042,40301,76560,637,11228,167,NA,3031
"Arizona","AZ",1974,2153000,6793,54557,97286,807,12968,206,NA,4396
"Arizona","AZ",1975,2224000,7424,56265,105588,789,11478,191,NA,3780
"Arizona","AZ",1976,2270000,6535,53722,105389,674,9575,177,NA,2949
"Arizona","AZ",1977,2296000,7171,53866,102571,786,10091,217,NA,3173
"Arizona","AZ",1978,2354000,7900,49023,106042,1040,10933,221,NA,3835
"Arizona","AZ",1979,2450000,8884,48916,116976,1120,12085,219,NA,4305
"Arizona","AZ",1980,2715357,10909,58527,132814,1227,12852,279,NA,5258
"Arizona","AZ",1981,2793000,9830,57655,127469,1064,11451,227,NA,4961
"Arizona","AZ",1982,2860000,8912,53861,124723,1100,10577,236,NA,4537
"Arizona","AZ",1983,2963000,9265,49440,114721,1241,10579,213,NA,3923
"Arizona","AZ",1984,3053000,10199,52327,118604,1316,11739,238,NA,4003
"Arizona","AZ",1985,3187000,12820,59585,135720,1458,12286,254,NA,4670
"Arizona","AZ",1986,3317000,14489,63278,143845,1425,13892,307,NA,5614
"Arizona","AZ",1987,3386000,14406,55059,153296,1396,14308,253,NA,4687
"Arizona","AZ",1988,3466000,14758,54773,167121,1345,15914,294,NA,4750
"Arizona","AZ",1989,3556000,14853,59284,181574,1286,24426,237,NA,4944
"Arizona","AZ",1990,3665228,16230,61206,172375,1500,31648,284,NA,5897
"Arizona","AZ",1991,3750000,17056,60281,159987,1590,32291,291,NA,6215
"Arizona","AZ",1992,3832000,17880,54095,158053,1647,31481,312,NA,5867
"Arizona","AZ",1993,3936000,19903,57684,172689,1488,33998,339,NA,6412
"Arizona","AZ",1994,4075000,20161,60157,190649,1465,43467,426,NA,6601
"Arizona","AZ",1995,4218000,20909,59762,207763,1418,48830,439,NA,7329
"Arizona","AZ",1996,4428000,18776,55630,188300,1381,41034,377,NA,7429
"Arizona","AZ",1997,4555000,18997,60077,195045,1492,44201,375,NA,7547
"Arizona","AZ",1998,4669000,17442,56473,183137,1451,40391,376,NA,7715
"Arizona","AZ",1999,4778332,17279,49423,167731,1383,38247,384,NA,7288
"Arizona","AZ",2000,5130632,17841,51902,176705,1577,43204,359,NA,7504
"Arizona","AZ",2001,5306966,17889,54821,186850,1518,52203,400,NA,8868
"Arizona","AZ",2002,5441125,20176,59087,201541,1608,57668,387,NA,8000
"Arizona","AZ",2003,5579222,18722,58613,198725,1856,56997,441,NA,7619
"Arizona","AZ",2004,5739879,18921,56885,179012,1896,55306,414,NA,7721
"Arizona","AZ",2005,5953007,19448,56328,176112,2006,54905,445,NA,8579
"Arizona","AZ",2006,6166318,20983,59418,178321,2449,56650,533,NA,9491
"Arizona","AZ",2007,6338755,20170,59988,177076,2353,50244,548,NA,9764
"Arizona","AZ",2008,6500180,19096,58606,169460,2200,38587,462,NA,9809
"Arizona","AZ",2009,6595778,17270,54308,155976,2279,26437,380,NA,8199
"Arizona","AZ",2010,6413158,16976,50932,154137,2191,21733,408,NA,6953
"Arizona","AZ",2011,6467315,16748,54695,155400,2499,19801,397,NA,7145
"Arizona","AZ",2012,6551149,18054,52911,159808,2282,18982,358,NA,7383
"Arizona","AZ",2013,6626624,17490,48533,159272,2343,17438,357,3050,6702
"Arizona","AZ",2014,6731484,16970,43562,154091,2464,17587,319,3378,6249
"Arizona","AZ",2015,6828065,18235,37957,152365,2294,16785,309,3108,6360
"Arizona","AZ",2016,6931071,21858,37736,150275,2452,18421,380,3290,7055
"Arizona","AZ",2017,7016270,24207,37627,147830,NA,19058,416,3581,7440
"Arkansas","AR",1961,1797000,1070,5536,10211,130,1089,163,NA,446
"Arkansas","AR",1962,1823000,999,5683,11169,124,1347,144,NA,400
"Arkansas","AR",1963,1858000,1275,6087,12315,113,1547,137,NA,466
"Arkansas","AR",1964,1933000,1772,7135,14622,157,1876,147,NA,565
"Arkansas","AR",1965,1960000,1879,6344,14254,203,1715,115,NA,465
"Arkansas","AR",1966,1955000,2280,7044,15140,192,1666,139,NA,574
"Arkansas","AR",1967,1968000,3175,8735,17301,279,1692,173,NA,693
"Arkansas","AR",1968,2012000,3052,11463,21506,349,2077,163,NA,796
"Arkansas","AR",1969,1995000,2961,12989,24069,347,2213,197,NA,885
"Arkansas","AR",1970,1923295,2876,14606,25388,328,2296,195,NA,877
"Arkansas","AR",1971,1944000,3197,14014,24173,332,2394,204,NA,947
"Arkansas","AR",1972,1978000,3208,14541,24891,342,2258,206,NA,1084
"Arkansas","AR",1973,2037000,3871,18088,29204,398,2952,180,NA,1456
"Arkansas","AR",1974,2062000,4134,22170,35989,492,3380,231,NA,1664
"Arkansas","AR",1975,2116000,4755,22791,41199,547,3550,213,NA,1854
"Arkansas","AR",1976,2109000,4069,19771,42474,510,3192,213,NA,1618
"Arkansas","AR",1977,2144000,4360,20852,39924,592,3933,188,NA,1784
"Arkansas","AR",1978,2186000,5070,21140,42647,505,4364,199,NA,1748
"Arkansas","AR",1979,2180000,5565,21457,45267,595,4225,198,NA,1626
"Arkansas","AR",1980,2284037,4989,25559,49558,609,4273,210,NA,1848
"Arkansas","AR",1981,2294000,4557,24732,50959,577,4281,209,NA,1776
"Arkansas","AR",1982,2291000,4824,24547,52450,622,4262,187,NA,1805
"Arkansas","AR",1983,2328000,4552,22380,48140,586,4043,178,NA,1614
"Arkansas","AR",1984,2349000,5089,20810,46807,697,3937,176,NA,1587
"Arkansas","AR",1985,2359000,5709,22207,49957,686,4208,187,NA,1617
"Arkansas","AR",1986,2372000,6598,24429,54677,686,4623,191,NA,1890
"Arkansas","AR",1987,2388000,6988,25743,60862,779,4932,182,NA,1890
"Arkansas","AR",1988,2422000,7209,26443,60363,780,5156,211,NA,2037
"Arkansas","AR",1989,2406000,7610,28738,63084,924,6391,203,NA,2660
"Arkansas","AR",1990,2350725,8590,28464,66630,1019,6803,241,NA,2661
"Arkansas","AR",1991,2372000,9533,29093,71487,1058,8097,264,NA,3217
"Arkansas","AR",1992,2399000,9571,26214,66288,990,7900,259,NA,3011
"Arkansas","AR",1993,2424000,10079,26646,67767,1028,7818,247,NA,3027
"Arkansas","AR",1994,2453000,10118,26911,68478,1028,7726,294,NA,3158
"Arkansas","AR",1995,2484000,9435,24763,69935,925,8082,259,NA,3122
"Arkansas","AR",1996,2510000,9032,23925,73010,1046,7855,219,NA,2864
"Arkansas","AR",1997,2523000,9131,25568,72253,1098,7938,250,NA,2814
"Arkansas","AR",1998,2538000,8906,23559,65525,893,7187,201,NA,2442
"Arkansas","AR",1999,2551373,7971,21692,63927,710,6664,143,NA,2024
"Arkansas","AR",2000,2673400,8887,21443,69740,848,6932,168,NA,2001
"Arkansas","AR",2001,2694698,8969,22196,69590,892,7320,148,NA,2181
"Arkansas","AR",2002,2706268,8081,23229,71129,754,6813,142,NA,2524
"Arkansas","AR",2003,2727774,9131,25016,68061,911,6007,180,NA,2227
"Arkansas","AR",2004,2750000,10083,30151,74242,1183,6518,176,NA,2372
"Arkansas","AR",2005,2775708,10747,30118,75510,1202,7286,189,NA,2532
"Arkansas","AR",2006,2810872,11259,31864,72646,1325,7515,205,NA,2749
"Arkansas","AR",2007,2834797,10629,32035,73096,1294,6999,198,NA,3105
"Arkansas","AR",2008,2855390,10244,33912,69905,1463,6543,165,NA,2777
"Arkansas","AR",2009,2889450,10772,34753,68228,1378,6097,179,NA,2576
"Arkansas","AR",2010,2921588,10887,32463,65796,1321,5561,134,NA,2369
"Arkansas","AR",2011,2938582,10426,34016,70645,1230,5769,160,NA,2357
"Arkansas","AR",2012,2949828,10134,32673,70982,1233,5734,174,NA,2310
"Arkansas","AR",2013,2959373,9781,30485,70450,993,5678,159,1423,2258
"Arkansas","AR",2014,2966369,10265,24790,68627,1182,5601,165,1763,2050
"Arkansas","AR",2015,2978204,11316,22640,68424,1300,5772,181,1931,2098
"Arkansas","AR",2016,2988248,11982,23771,66747,1545,7155,216,2143,2120
"Arkansas","AR",2017,3004279,12425,21862,63374,NA,7253,258,2053,1935
"California","CA",1961,16397000,19684,146615,319834,3033,54559,605,NA,14832
"California","CA",1962,16970000,20645,158523,348373,2946,57555,657,NA,15598
"California","CA",1963,17590000,22208,175703,384289,3080,63717,673,NA,16458
"California","CA",1964,18084000,24998,196883,427960,3621,75787,740,NA,18667
"California","CA",1965,18602000,26581,225007,444217,3948,81773,880,NA,21081
