"","Major","Major_category","Unemployment_rate","Median","Women","Men"
"1","PETROLEUM ENGINEERING","STEM",0.018380527,110000,282,2057
"2","MINING AND MINERAL ENGINEERING","STEM",0.117241379,75000,77,679
"3","METALLURGICAL ENGINEERING","STEM",0.024096386,73000,131,725
"4","NAVAL ARCHITECTURE AND MARINE ENGINEERING","STEM",0.050125313,70000,135,1123
"5","CHEMICAL ENGINEERING","STEM",0.061097712,65000,11021,21239
"6","NUCLEAR ENGINEERING","STEM",0.177226407,65000,373,2200
"7","ACTUARIAL SCIENCE","Business",0.095652174,62000,1667,2110
"8","ASTRONOMY AND ASTROPHYSICS","STEM",0.021167415,62000,960,832
"9","MECHANICAL ENGINEERING","STEM",0.057342278,60000,10907,80320
"10","ELECTRICAL ENGINEERING","STEM",0.059173845,60000,16016,65511
"11","COMPUTER ENGINEERING","STEM",0.065409275,60000,8284,33258
"12","AEROSPACE ENGINEERING","STEM",0.065162085,60000,2105,12953
"13","BIOMEDICAL ENGINEERING","STEM",0.09208386,60000,6548,8407
"14","MATERIALS SCIENCE","STEM",0.023042836,60000,1330,2949
"15","ENGINEERING MECHANICS PHYSICS AND SCIENCE","STEM",0.006334343,58000,795,3526
"16","BIOLOGICAL ENGINEERING","STEM",0.087143069,57100,2863,6062
"17","INDUSTRIAL AND MANUFACTURING ENGINEERING","STEM",0.042875544,57000,6515,12453
"18","GENERAL ENGINEERING","STEM",0.059824231,56000,15469,45683
"19","ARCHITECTURAL ENGINEERING","STEM",0.061930783,54000,990,1835
"20","COURT REPORTING","Law",0.011689692,54000,271,877
"21","COMPUTER SCIENCE","STEM",0.063172771,53000,28576,99743
"22","FOOD SCIENCE","STEM",0.09693146,53000,NA,NA
"23","ELECTRICAL ENGINEERING TECHNOLOGY","STEM",0.087557114,52000,3384,8181
"24","MATERIALS ENGINEERING AND MATERIALS SCIENCE","STEM",0.027788805,52000,973,2020
"25","MANAGEMENT INFORMATION SYSTEMS AND STATISTICS","Business",0.058239614,51000,5217,13496
"26","CIVIL ENGINEERING","STEM",0.070609574,50000,12072,41081
"27","CONSTRUCTION SERVICES","Arts",0.060023041,50000,1678,16820
"28","OPERATIONS LOGISTICS AND E-COMMERCE","Business",0.047858703,50000,3811,7921
"29","MISCELLANEOUS ENGINEERING","STEM",0.074392523,50000,1735,7398
"30","PUBLIC POLICY","Law",0.128426299,50000,3339,2639
"31","ENVIRONMENTAL ENGINEERING","STEM",0.093588575,50000,1385,2662
"32","ENGINEERING TECHNOLOGIES","STEM",0.055030385,50000,905,2695
"33","MISCELLANEOUS FINE ARTS","Arts",0.089375,50000,1370,1970
"34","GEOLOGICAL AND GEOPHYSICAL ENGINEERING","STEM",0.075038285,50000,232,488
"35","NURSING","STEM",0.044862724,48000,187621,21773
"36","FINANCE","Business",0.060686356,47000,59476,115030
"37","ECONOMICS","STEM",0.099092317,47000,49498,89749
"38","BUSINESS ECONOMICS","Business",0.096448381,46000,5727,7575
"39","INDUSTRIAL PRODUCTION TECHNOLOGIES","STEM",0.028308097,46000,1154,3477
"40","NUCLEAR, INDUSTRIAL RADIOLOGY, AND BIOLOGICAL TECHNOLOGIES","STEM",0.07154047,46000,1588,528
"41","ACCOUNTING","Business",0.069749014,45000,104114,94519
"42","MATHEMATICS","STEM",0.047277138,45000,32441,39956
"43","COMPUTER AND INFORMATION SYSTEMS","STEM",0.093460326,45000,9306,27392
"44","PHYSICS","STEM",0.048224496,45000,9062,23080
"45","MEDICAL TECHNOLOGIES TECHNICIANS","STEM",0.03698279,45000,11998,3916
"46","INFORMATION SCIENCES","STEM",0.060741445,45000,2908,9005
"47","STATISTICS AND DECISION SCIENCE","STEM",0.086273666,45000,3291,2960
"48","APPLIED MATHEMATICS","STEM",0.090823307,45000,2145,2794
"49","PHARMACOLOGY","STEM",0.085531575,45000,1247,515
"50","OCEANOGRAPHY","STEM",0.056994819,44700,1666,752
"51","ENGINEERING AND INDUSTRIAL MANAGEMENT","STEM",0.03365166,44000,506,2400
"52","MEDICAL ASSISTING SERVICES","STEM",0.042506527,42000,10320,803
"53","MATHEMATICS AND COMPUTER SCIENCE","STEM",0,42000,109,500
"54","COMPUTER PROGRAMMING AND DATA PROCESSING","STEM",0.11398259,41300,1122,3046
"55","COGNITIVE SCIENCE AND BIOPSYCHOLOGY","STEM",0.075236167,41000,2164,1667
"56","SCHOOL STUDENT COUNSELING","Education",0.107579462,41000,699,119
"57","INTERNATIONAL RELATIONS","STEM",0.096798943,40100,17842,10345
"58","GENERAL BUSINESS","Business",0.072861468,40000,102352,132238
"59","ARCHITECTURE","STEM",0.113331949,40000,20957,25463
"60","INTERNATIONAL BUSINESS","Business",0.096175064,40000,15270,10624
"61","PHARMACY PHARMACEUTICAL SCIENCES AND ADMINISTRATION","STEM",0.055520827,40000,14854,8697
"62","MOLECULAR BIOLOGY","STEM",0.084361164,40000,10874,7426
"63","MISCELLANEOUS BUSINESS & MEDICAL ADMINISTRATION","Business",0.071982974,40000,7662,10285
"64","AGRICULTURE PRODUCTION AND MANAGEMENT","STEM",0.050030836,40000,4582,9658
"65","GENERAL AGRICULTURE","STEM",0.019642463,40000,4346,6053
"66","MISCELLANEOUS ENGINEERING TECHNOLOGIES","STEM",0.05253852,40000,1761,7043
"67","MECHANICAL ENGINEERING RELATED TECHNOLOGIES","STEM",0.056357078,40000,371,4419
"68","GENETICS","STEM",0.034117647,40000,1874,1761
"69","MISCELLANEOUS SOCIAL SCIENCES","STEM",0.073079538,40000,1784,1499
"70","UNITED STATES HISTORY","Arts",0.047179487,40000,1323,1756
"71","INDUSTRIAL AND ORGANIZATIONAL PSYCHOLOGY","STEM",0.108786611,40000,1939,1075
"72","AGRICULTURAL ECONOMICS","STEM",0.077249576,40000,690,1749
"73","PHYSICAL SCIENCES","STEM",0.035353535,40000,542,894
"74","MILITARY TECHNOLOGIES","Arts",0,40000,0,124
"75","CHEMISTRY","STEM",0.0539724,39000,33607,32923
"76","ELECTRICAL, MECHANICAL, AND PRECISION TECHNOLOGIES AND PRODUCTION","Arts",0.029479503,38400,566,1869
"77","BUSINESS MANAGEMENT AND ADMINISTRATION","Business",0.072218341,38000,156118,173809
"78","MARKETING AND MARKETING RESEARCH","Business",0.061215064,38000,126354,78857
"79","POLITICAL SCIENCE AND GOVERNMENT","STEM",0.101174601,38000,88741,93880
"80","GEOGRAPHY","STEM",0.113458628,38000,7076,11404
"81","MICROBIOLOGY","STEM",0.066775872,38000,8849,6383
"82","COMPUTER ADMINISTRATION MANAGEMENT AND SECURITY","STEM",0.099723375,37500,1459,6607
"83","BIOCHEMICAL SCIENCES","STEM",0.080531385,37400,20156,18951
"84","BOTANY","STEM",0,37000,703,626
"85","COMPUTER NETWORKING AND TELECOMMUNICATIONS","STEM",0.151849807,36400,2322,5291
"86","GEOLOGY AND EARTH SCIENCE","STEM",0.075448568,36200,5159,5813
"87","HUMAN RESOURCES AND PERSONNEL MANAGEMENT","Business",0.059569649,36000,18313,6184
"88","PRE-LAW AND LEGAL STUDIES","Law",0.071965016,36000,9093,4435
"89","MISCELLANEOUS HEALTH MEDICAL PROFESSIONS","STEM",0.08141125,36000,11797,1589
"90","PUBLIC ADMINISTRATION","Law",0.1594906,36000,2682,2947
"91","GEOSCIENCES","STEM",0.024373731,36000,1169,809
